gene,mean_B,mean_other,det_B,det_other,log2FC,det_diff
Zfp644,0.482,0.5612,0.2518,0.3899,-0.2195,-0.1381
Gm33327,0.0004,0.0,0.0002,0.0,4.0428,0.0002
Hfm1,0.0524,0.0006,0.0278,0.0004,6.4401,0.0274
Cdc7,0.1221,0.0069,0.0652,0.0046,4.1396,0.0606
Gm33371,0.0,0.0,0.0,0.0,0.0,0.0
Gm33474,0.0004,0.0005,0.0002,0.0003,-0.4871,-0.0001
Gm42146,0.0,1e-04,0.0,0.0001,-7.0924,-0.0001
Tgfbr3,0.1522,0.2538,0.0796,0.1535,-0.7375,-0.0738
Brdt,0.1598,0.0793,0.0866,0.0647,1.011,0.0219
Gm17202,0.2452,0.042,0.1326,0.0303,2.5471,0.1024
Ephx4,0.3994,0.0041,0.214,0.003,6.6179,0.211
Lpcat2b,0.0002,0.0,0.0001,0.0,7.8687,0.0001
Btbd8,0.3093,0.1142,0.1656,0.096,1.4378,0.0695
Gm33885,0.0006,0.0004,0.0003,0.0003,0.7133,0.0
1700028K03Rik,0.015,0.0077,0.0081,0.0069,0.9548,0.0012
Glmn,0.2632,0.1089,0.1413,0.0887,1.2728,0.0526
Rpap2,0.112,0.2353,0.0614,0.1904,-1.0707,-0.129
A930041C12Rik,0.0013,0.0024,0.0006,0.0022,-0.8857,-0.0016
4930428O21Rik,0.0,0.0,0.0,0.0,-3.7105,-0.0
Gfi1,0.0,0.0012,0.0,0.0008,-10.2666,-0.0008
Gm42147,0.0006,0.0057,0.0003,0.0049,-3.188,-0.0046
Evi5,0.5233,1.1986,0.2778,0.6559,-1.1956,-0.3781
Ube2d2b,0.0,0.0009,0.0,0.0007,-9.7713,-0.0007
Gm42149,0.0013,0.0095,0.0008,0.0061,-2.8419,-0.0053
Rpl5,0.5491,0.3828,0.2865,0.263,0.5206,0.0235
Snord21,0.0002,0.0003,0.0001,0.0002,-0.112,-0.0001
Gm22270,0.0,0.0004,0.0,0.0003,-8.8022,-0.0003
Gm26387,0.0003,0.0002,0.0001,0.0001,0.6501,0.0
Dipk1a,0.3334,0.1407,0.1774,0.1129,1.245,0.0645
Gm42150,0.0018,0.0003,0.001,0.0002,2.4995,0.0008
Mtf2,0.4274,0.3515,0.2259,0.2649,0.2819,-0.039
Tmed5,0.1733,0.368,0.0924,0.2668,-1.0861,-0.1744
Ccdc18,0.0271,0.0202,0.0146,0.017,0.4223,-0.0024
Dr1,0.0663,0.1368,0.0363,0.1028,-1.0439,-0.0665
Pigg,0.0692,0.1145,0.0383,0.0938,-0.7253,-0.0555
9330198I05Rik,0.0075,0.0069,0.0042,0.006,0.1173,-0.0017
Gm42517,0.165,0.0008,0.0919,0.0004,7.6649,0.0915
Gm10419,0.3696,0.0028,0.2004,0.0014,7.0201,0.199
Pde6b,0.0034,0.0023,0.0018,0.0022,0.546,-0.0003
Gm34254,0.0,0.0,0.0,0.0,0.0,0.0
Atp5k,0.3913,0.3676,0.2088,0.2246,0.0899,-0.0157
Gm34319,0.0005,0.0019,0.0003,0.0014,-1.8823,-0.001
Slc49a3,0.0039,0.0383,0.0022,0.0296,-3.2869,-0.0275
Pcgf3,0.1513,0.4147,0.0825,0.2995,-1.455,-0.2171
Cplx1,0.2865,0.0006,0.1543,0.0004,8.8803,0.154
Gak,0.2304,0.4694,0.1242,0.3342,-1.0268,-0.21
Tmem175,0.3075,0.163,0.1649,0.1344,0.9157,0.0305
Dgkq,0.0682,0.3167,0.0378,0.2213,-2.216,-0.1835
Idua,0.036,0.0738,0.0196,0.0595,-1.0356,-0.0399
Slc26a1,0.0126,0.1998,0.0069,0.1396,-3.9907,-0.1327
Gm42151,0.0247,0.0313,0.0131,0.0229,-0.3435,-0.0098
Fgfrl1,0.0119,0.081,0.006,0.0556,-2.766,-0.0496
Rnf212,0.0002,0.0006,0.0001,0.0006,-1.4705,-0.0005
1700047L14Rik,0.0,0.0,0.0,0.0,-5.0023,-0.0
Tmed11,0.0,0.0,0.0,0.0,0.0,0.0
Vmn2r8,0.0,0.0,0.0,0.0,0.0,0.0
Vmn2r9,0.0,0.0,0.0,0.0,0.0,0.0
Gm20629,0.0031,1e-04,0.0017,0.0001,5.0561,0.0017
Vmn2r10,0.0,0.0,0.0,0.0,-4.7999,-0.0
Vmn2r11,0.0002,0.0,0.0001,0.0,4.6788,0.0001
Vmn2r12,0.0,0.0,0.0,0.0,-5.269,-0.0
Vmn2r13,0.0,1e-04,0.0,0.0001,-6.9899,-0.0001
Vmn2r14,0.0,0.0,0.0,0.0,0.0,0.0
Vmn2r15,0.0,0.0,0.0,0.0,-4.273,-0.0
Vmn2r16,0.0,0.0,0.0,0.0,0.0,0.0
Vmn2r17,0.0,0.0,0.0,0.0,0.0,0.0
Gm50598,0.0,0.0085,0.0,0.0076,-13.0458,-0.0076
Gm8493,0.008,0.0143,0.0042,0.0108,-0.8479,-0.0066
Crlf2,0.0919,0.0692,0.0508,0.0535,0.4095,-0.0027
5430403G16Rik,0.0319,0.0563,0.0167,0.0496,-0.8227,-0.0329
4930522L14Rik,0.0714,0.0572,0.037,0.0477,0.3201,-0.0107
Gm10416,0.0002,0.0009,0.0001,0.0006,-1.8512,-0.0005
Gm35089,0.0025,0.0015,0.0012,0.0013,0.7496,-0.0001
AB010352,0.0782,0.0763,0.0432,0.0641,0.0356,-0.0209
Gm54333,0.0013,0.0486,0.0009,0.0449,-5.2715,-0.044
Gm26808,0.001,0.0057,0.0005,0.0036,-2.4875,-0.003
LOC115490200,0.1105,0.0704,0.0599,0.0586,0.649,0.0013
Gm15446,0.0294,0.0225,0.016,0.0194,0.3849,-0.0035
Zfp932,0.1602,0.1268,0.0864,0.101,0.3372,-0.0146
Gm54334,1e-04,0.0002,0.0001,0.0001,-0.2533,-0.0
Gm35315,0.0065,0.0731,0.0037,0.0572,-3.494,-0.0535
Plcxd1,0.0398,0.0063,0.0209,0.0052,2.6586,0.0157
Gtpbp6,0.0994,0.1204,0.0545,0.0869,-0.2759,-0.0324
Zfp605,0.0936,0.056,0.0506,0.0511,0.7404,-0.0005
Chfr,0.4595,0.4497,0.2425,0.3263,0.0312,-0.0838
Gm15787,0.0092,0.0375,0.0046,0.0338,-2.0297,-0.0291
Golga3,0.1582,0.307,0.0861,0.2371,-0.9563,-0.151
LOC118568795,0.0091,0.011,0.0049,0.0086,-0.2802,-0.0037
Ankle2,0.1217,0.1717,0.0668,0.1384,-0.4973,-0.0716
Pgam5,0.1587,0.141,0.0857,0.1122,0.1703,-0.0266
Pxmp2,0.0277,0.5263,0.0149,0.3615,-4.2502,-0.3466
Pole,0.0102,0.0173,0.0057,0.0133,-0.7622,-0.0076
P2rx2,0.0002,1e-04,0.0001,0.0001,1.6158,0.0
Lrcol1,0.0004,0.0003,0.0002,0.0002,0.4541,-0.0
Fbrsl1,0.2002,0.4293,0.1078,0.3052,-1.1005,-0.1973
A630023P12Rik,0.0126,0.0024,0.0068,0.0019,2.409,0.0049
Galnt9,0.3126,0.0017,0.168,0.0011,7.547,0.1669
Noc4l,0.0534,0.058,0.0297,0.046,-0.1184,-0.0163
Ddx51,0.043,0.0915,0.0234,0.0675,-1.0878,-0.0441
Ep400,0.4007,0.6205,0.2123,0.4219,-0.6309,-0.2096
Mir7026,0.0,0.0,0.0,0.0,0.0,0.0
Gm22716,0.0,0.0,0.0,0.0,-5.2424,-0.0
Gm26079,0.0,0.0,0.0,0.0,0.0,0.0
Gm22583,0.0016,0.001,0.0009,0.0009,0.7164,-0.0
Gm15559,0.0192,0.0205,0.0105,0.016,-0.0953,-0.0055
