,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Vegfc,13.096341843864582,-1.6067566847154884,1.07673173236091,-1.492253489355619,0.13563270466765254,0.30195906762034397
Hhipl2,5.3247756389644705,3.1690082438474465,2.1242374591750806,1.491833330666379,0.1357428437948298,0.30195906762034397
Usp45,167.54110244079573,-0.398935279126641,0.26741027427613373,-1.491847238130767,0.13573919702924853,0.30195906762034397
Epm2a,21.452388499247505,1.0735882395675338,0.7196409899836756,1.4918386452554446,0.13574145021335676,0.30195906762034397
Rbm22,175.02057639624093,0.46854464783147626,0.31404737711818587,1.491955297098846,0.13571086477078148,0.30195906762034397
Clic5,9.631650249434477,2.0549227292326577,1.3775592154591558,1.4917128107249669,0.13577444927185028,0.3019752272618456
Exoc7,306.21995703525283,-0.3437610146557962,0.23049754204799144,-1.4913868998404436,0.1358599454907028,0.3021112177375262
Nus1,416.48700867470313,0.3489099713878958,0.2340911533444159,1.4904876429676441,0.13609606319796877,0.30241944474905974
Clcc1,334.0594643716038,-0.33044353500646295,0.22169898877454028,-1.4905053777331925,0.13609140352348653,0.30241944474905974
Zfp119b,53.91874776355472,0.9768564310819559,0.6553798359471379,1.4905195086910605,0.13608769081017644,0.30241944474905974
Carm1,201.14369555024308,-0.44635961776459554,0.2994297419759634,-1.4906990027745035,0.13604053803251906,0.30241944474905974
Oxa1l,220.20633123006357,-0.3926308728700354,0.26350896048862366,-1.4900095698528866,0.1362217196843245,0.30264445816685703
Naaa,15.135819848168772,-1.8785888491671465,1.261522172494295,-1.4891445351711738,0.13644931255737264,0.30309582302359267
Arf1,1865.3187310426542,0.23801443337949385,0.15986503632157378,1.4888460845229472,0.13652790375644597,0.30321610705378954
Strip1,73.96506092598744,-0.657452941573572,0.44161852340204205,-1.4887349754010157,0.1365571711142188,0.30322682384875577
Tbc1d31,64.56009857045862,-0.713331133621225,0.47921739402957764,-1.4885334766817704,0.1366102604324737,0.30329042428870234
Otud5,294.64384577063277,0.42598127834914484,0.2862215721795495,1.4882920078502075,0.1366739017437309,0.30337742441093674
Ddx50,677.1342729935427,0.34693201848846256,0.2332420005917869,1.487433728094506,0.13690029438206386,0.30382559071625836
Poldip3,393.98480719743634,0.33442929517639347,0.22487163454154102,1.487200890669088,0.13696176090755943,0.30390763831500306
Klc2,46.53422818906168,-0.8837683600576773,0.5943333990336821,-1.486990906946477,0.13701721256254457,0.30397631241969386
Cct2,1022.8279086271914,0.2702431403261557,0.18175833262672758,1.4868266913580634,0.13706059001980747,0.3040181798293816
Ighm,13.20110031986059,-2.092333859255972,1.4073652575858058,-1.4867027930227308,0.1370933247075138,0.30403642944608794
Rrp7a,130.1764254453547,-0.5705714498413733,0.38402023723981504,-1.4857848480653373,0.1373360391873236,0.30446585099319806
Gm4129,4.338105973828147,-3.055593793991328,2.0565091333170957,-1.4858158150081902,0.1373278457983142,0.30446585099319806
Isyna1,132.08988726331194,0.891669349311762,0.6001942740953594,1.4856345483397477,0.13737581159772155,0.30449961027002564
Selenok,602.9755272464586,0.3352257138952147,0.22574260513098207,1.484990897933102,0.13754623525819623,0.30466632885411105
Gas6,576.9257797185192,0.5344138327397087,0.35986576128860276,1.4850366170598903,0.13753412452068026,0.30466632885411105
Brd4,719.6546098394895,0.28250682172515273,0.19025341550784655,1.4848975035273486,0.1375709774623576,0.30466632885411105
Mmd2,14.75687936022277,1.7181966749765225,1.1571230153175307,1.4848867857883072,0.13757381704342495,0.30466632885411105
Ddias,6.2248367762421335,2.198989108072958,1.4807503780883724,1.4850505126406397,0.13753044382303956,0.30466632885411105
Nsmf,361.8065644832059,-0.41883679451568445,0.2822415228943531,-1.4839658963733016,0.1378179682829297,0.30515254587150203
Dusp7,8.541928771578416,1.9062713691311062,1.2852509333220803,1.4831900290504594,0.1380239296106397,0.30555404545852893
Masp2,1483.0343176511226,0.234767843212375,0.1583201358213922,1.4828678739716772,0.13810951839560157,0.3056525106447197
Pald1,75.23646654653946,-0.6246892559267329,0.4212797444527191,-1.4828371507352232,0.13811768294972585,0.3056525106447197
Cited2,205.1795929955445,0.38972396755220634,0.2628915400229717,1.482451536927175,0.1382201896229393,0.3058248033640423
Rarres1,876.680718688278,0.49148733976370373,0.33159581364946283,1.4821880118283572,0.13829027550027406,0.3058707715914423
Pusl1,26.388531627608707,-0.9667966460920888,0.6522469303515244,-1.4822555708633842,0.13827230521210382,0.3058707715914423
Proca1,19.179216831413406,-1.169803416848584,0.7894046572400584,-1.4818805616608441,0.13837207808618968,0.30599714808150963
Xrcc4,85.8346272159324,0.49446991524488876,0.3337944876998686,1.481360338369313,0.13851057765440986,0.30613971608419893
Tubb2a,354.49105489092324,0.5458265509178919,0.36843746589188736,1.481463210036454,0.13848318155936004,0.30613971608419893
Cnot6l,383.3613268384443,-0.35405410652394276,0.23899125811604413,-1.4814521222028503,0.13848613419637534,0.30613971608419893
Rilpl2,61.45980417667644,-0.59623405121085,0.4025401420825804,-1.4811791145255115,0.1385588501341678,0.3061750668800335
Lsm11,18.44102181229762,-1.424413940667241,0.9617173139453592,-1.4811150012717462,0.13857593104396165,0.3061750668800335
Pnpt1,442.8038905122114,0.36022560321804115,0.2433154839417839,1.480487790510814,0.13874311669968756,0.3064898692621659
Ralgps1,26.85821418125941,-1.4314629018313973,0.9670309716567751,-1.4802658278658125,0.13880231897663878,0.30656606181666024
Ift88,62.76811674533225,0.695348539530313,0.4698033816789067,1.4800841514707488,0.13885079051095603,0.3066185309859239
Mxd1,84.00322716322499,0.5943906717043959,0.40162415395634954,1.4799674418212334,0.13888193569696508,0.3066327272213114
Mrps17,158.7704507954388,-0.43026052749838034,0.29077561764229903,-1.4796994706332987,0.13895346695924723,0.3066338508569412
Rtca,77.52458864179036,0.6373923321173581,0.43075505920673307,1.4797094508678847,0.13895080236285803,0.3066338508569412
Phb2,879.8216134500076,-0.28827294631626466,0.19482011993120163,-1.4796877571888611,0.13895659435093694,0.3066338508569412
Ccdc47,1316.2847323182846,0.26165289007390385,0.17685481129306974,1.4794784951612852,0.13901247469676134,0.30670260734270344
Serpina1d,10005.544925610728,0.24795426442321913,0.16762820889978458,1.4791917544824271,0.1390890726759446,0.30681704047257624
Cc2d2a,17.079782022154344,-1.3872440453254185,0.9379662946534146,-1.4789913595328232,0.13914262412731707,0.30688060354195473
Kif22,18.11796872977145,1.5190122193827358,1.0272190392685636,1.4787617453667485,0.1392040033314416,0.30690685362179926
Akr7a5,560.2526098490051,-0.3963294755400044,0.26800817147011874,-1.4787962373161923,0.13919478180167452,0.30690685362179926
5730455P16Rik,175.34021653674395,-0.5659681257282152,0.3827656891710097,-1.4786281574871132,0.1392397229045272,0.3069216926361536
Zfp512b,171.63780849484039,-0.4510654367482917,0.3050725155966119,-1.4785515367261788,0.13926021343292833,0.3069216926361536
Rnu5g,3.7781714513336797,-3.56808322130903,2.414795717811935,-1.4775921602768525,0.13951697400888047,0.30732900070885927
Cwf19l2,427.6531521747736,0.3321680068713961,0.22480492367994342,1.477583326174414,0.13951933999615473,0.30732900070885927
Chmp1b,239.9958208095125,0.3607363610476765,0.24412309377313696,1.4776822441178301,0.13949284913063953,0.30732900070885927
Tmco1,925.2800009274051,-0.2798262864419895,0.18939941631589655,-1.4774400675832668,0.1395577124390126,0.30735895269277297
Brms1l,21.729147431396285,-1.1974985083792933,0.8105966746996437,-1.4773049850260132,0.13959390233575097,0.3073840881038918
Rnf5,87.04600532584178,-0.6235279532109446,0.422149969092522,-1.4770294891915219,0.13966773266676807,0.30749208366706743
Cep120,191.07518651311062,0.4010993139653543,0.27158450253229194,1.4768858687644106,0.13970623352574763,0.307522273442233
Shisa7,6.34866828245401,2.6308590775442546,1.7819625826298617,1.4763828955721234,0.1398411318017786,0.3077646054874695
Lmln,12.804112426643918,-1.4654502370361118,0.992735715481784,-1.476173581933551,0.1398972996063596,0.30783361101747025
Col20a1,15.478428450138264,2.009441444189768,1.3613538293672651,1.4760611097878376,0.1399274878642118,0.30784543614885823
Esco2,11.15089522893646,-1.4932159530353013,1.011892918955353,-1.4756659771637215,0.14003358377686465,0.30802422700989057
Telo2,31.796449177477527,-0.9348939652353127,0.633783856947154,-1.4750990499167378,0.14018591585551804,0.3082499950555755
Ankzf1,150.3380649111497,-0.40738911904848973,0.27616780035829075,-1.475150682012736,0.140172037153211,0.3082499950555755
Fbxl12,15.488014778353442,1.6018996502712477,1.086308363044616,1.474627007180148,0.14031284991143889,0.30847443133108465
Gm5424,1195.2153661246462,0.3019079859037781,0.2048071698084383,1.4741084806072016,0.1404523855182151,0.3086227193658988
Tyw3,13.272092232970502,1.6485052117972199,1.1181786122650623,1.4742771805104466,0.14040697663216228,0.3086227193658988
Ctps2,103.34095641210699,-0.5064009712596924,0.3435325324873025,-1.474099025187403,0.14045493096403874,0.3086227193658988
Sdhaf4,36.69607126178208,-1.1107980411744605,0.7536759271219485,-1.473840414959582,0.14052456387394532,0.30872104469987
Ctsb,3059.3069222326126,0.23832860564575895,0.16184760749931587,1.4725494514756194,0.14087256342105361,0.30943077581472933
Api5,586.1563508506588,0.3057483608782047,0.20775664661757,1.4716658449008075,0.14111113517825638,0.3098999368067709
Zbtb5,81.84762625503635,-0.6630041108701334,0.4507600098634249,-1.470858320087037,0.1413294365189506,0.3103244229122303
Rrp1,551.7514060609899,0.29618914884616304,0.20150715557384252,1.4698691369181887,0.14159719984223904,0.31081677486455694
Capn8,27.767882755834805,-1.1452513373992612,0.7791708719412934,-1.4698333557386243,0.14160689279739366,0.31081677486455694
Arf6,310.4454258212835,0.42674979194716284,0.29035488828631223,1.4697523932380112,0.141628827044119,0.31081677486455694
Abcb1b,26.66845882118443,1.141059409568726,0.7764208703773235,1.4696403112067251,0.14165919645830066,0.3108284384969363
Vrk2,33.67498267413252,-0.9625376533378032,0.6556787379612866,-1.4680019308398475,0.14210369842776868,0.31174862647124635
Smad5,267.3155465801393,0.40278622571372635,0.27453057352690974,1.467181671385846,0.14232664151616115,0.31196189304761396
Tcf12,298.6689471538616,0.34398254076147294,0.2344152628026116,1.467406757772091,0.14226543725823187,0.31196189304761396
Carf,45.190181147373906,0.6497432725328535,0.4428296624649237,1.4672532750317269,0.14230716925236622,0.31196189304761396
Gm44553,7.471648573147551,2.0377826157374517,1.3887570421655702,1.4673427776537629,0.14228283232552394,0.31196189304761396
Acox1,40701.90168647492,0.2713705548160874,0.18493519273193404,1.4673819017748697,0.14227219497210328,0.31196189304761396
Kctd12,43.05990016730662,0.9340466880485296,0.6369034192168896,1.4665436860065773,0.14250022887370864,0.3122320451090126
Uspl1,165.91884579621907,0.4399906201584269,0.3000061069476159,1.4666055455839557,0.142483390590927,0.3122320451090126
Rad9b,9.103468967036935,-1.6823859153518528,1.147527755902003,-1.4660960544953703,0.1426221204645878,0.31244393898705214
Atrx,982.1917627423527,0.34149862902647815,0.23300782767167844,1.4656101146424554,0.14275453413416236,0.3126788048143394
Gm43737,10.093431152838637,1.7410475919137747,1.1882220508925523,1.4652544030856507,0.1428515217180824,0.31283600678455964
Ntan1,51.70274741031264,-0.768630385170688,0.5246603145302202,-1.4650057644609886,0.1429193450391832,0.3129292966036193
Ift54,78.23044091099916,-0.6792525054002775,0.4637044462731305,-1.4648393192248692,0.14296476156143076,0.3129735013112952
Saxo4,4.135105724746062,3.0554704231774026,2.0862083848972572,1.4646046125099244,0.1430288228426667,0.31305849967997934
Tcaf2,5.662438589345605,2.276067142839542,1.5549605997789988,1.463745861575548,0.14326339964550966,0.3135166230379596
Tm9sf1,517.5958037667892,0.30262039951180864,0.206783985989203,1.4634614864596414,0.14334114470388726,0.31363143583711206
Gm32624,4.968675362679003,-2.529419713791134,1.7294922496683458,-1.4625215662436102,0.14359833893983734,0.31413877497577536
Cnpy4,22.41531601602024,-1.4690105990654374,1.0047069936702064,-1.46212837008243,0.14370603576698543,0.31431284655796604
Hspa4,1938.0267575935136,-0.2481161730421731,0.16970475511415178,-1.462046086306055,0.14372858121258597,0.31431284655796604
Gatd1,23.38355889766075,-1.3716150104572802,0.9386543243631928,-1.4612567958793765,0.14394498164755526,0.31473060315819007
Ugt2b34,3149.726966648993,0.25835419537140236,0.17684950600521887,1.4608703253249589,0.14405103167823183,0.3149069777973822
Sptssa,218.37598601683294,0.399862144631245,0.2737724044509175,1.4605640967840245,0.14413510530763632,0.31503525659734605
Gas7,20.464307166072864,-1.5495286782705477,1.0612677916389264,-1.460073216654955,0.14426995264858675,0.31527444646087144
Xpot,729.5314284099542,-0.34100220713037854,0.2335814496430849,-1.4598856529550346,0.14432150290552015,0.3153315542525331
Copz1,718.040434573772,-0.2947470467323975,0.20193028980599542,-1.4596475200207746,0.14438697201834966,0.31541904822321637
Adipor1,747.6932225216481,-0.2618238168532784,0.1794219683254394,-1.4592628723054513,0.14449277003888786,0.3155945959687399
Lcat,3156.2746378212773,0.229963791894508,0.15768625120976384,1.4583629842819723,0.14474051787593042,0.3160800677290605
Raf1,584.0739718017464,0.35073561073263915,0.24053056280496113,1.4581748225361277,0.14479236173519028,0.31613763458056504
Gm42571,5.5886566516407825,2.5915588602557063,1.777792636272652,1.4577396752464955,0.14491231156339637,0.31634385663478715
Tmem181a,27.684544647489837,-0.9874101321604278,0.6775665569837654,-1.4572887666651562,0.14503668634276565,0.31648387966507335
Ppp1r11,149.23050435366247,-0.5648492631553665,0.38758713121967053,-1.4573478262239572,0.14502039120535604,0.31648387966507335
Kpna1,847.3651708691477,0.24711526017487423,0.16957879781105703,1.4572296971358856,0.14505298563401636,0.31648387966507335
Faim,119.16151800586809,0.461583882578552,0.31693110006994285,1.456417128128751,0.1452773434775346,0.3169176583756452
Maf1,78.73552603072764,0.6276422443617641,0.4311038666502897,1.4558956504811538,0.14542146824378943,0.3171762895626673
Fbxo28,116.83642564482216,0.442902117048544,0.3042812383058519,1.455568274647797,0.1455120035345034,0.3173179672787922
Acadsb,1771.3863707272212,-0.31193576887410507,0.21433736003777343,-1.455349495856119,0.14557253053180724,0.31739416762347994
Bcas2,206.95432598682902,-0.38504484811104783,0.2646385866513024,-1.454983768555253,0.14567375511719188,0.3175590592134743
Foxp1,144.04619527019582,-0.4348378959550343,0.2988864442501709,-1.454859878459629,0.14570805715414464,0.3175780318085591
Nup188,66.5076559537726,0.661103703258188,0.45452928380299007,1.454479891211443,0.14581330459021585,0.3177515996392443
B3glct,6.3190299046705825,2.622408087273457,1.803329898950396,1.454203187558635,0.1458899815356661,0.3178628575573364
Ncoa4,528.8872299813662,-0.31830826848370897,0.21890607557300126,-1.4540860396428734,0.1459224535214896,0.31787778022609303
Cbs,3679.644741397721,-0.229815302435193,0.1580652650560136,-1.4539266571548994,0.14596664130307369,0.31791821488868194
Ift20,229.51556871354575,-0.4314568633817031,0.2967884959444699,-1.4537519791954137,0.14601508141911942,0.31796789539855985
Tmem51,25.259411316368105,-1.0779305452263632,0.7416212605584576,-1.4534784836328143,0.1460909494524584,0.31807727604548947
Amdhd1,807.7855156414762,0.32891829674343975,0.22635295558239857,1.453121280864851,0.14619008340359915,0.31815553974357363
Vwa5a,378.462606564824,-0.35316487735952595,0.24303465435911253,-1.4531461708241944,0.14618317406222947,0.31815553974357363
Tmt1a,1130.2575454743885,-0.3173692407435403,0.21842277534385662,-1.4530043409800792,0.14622254873776866,0.31815553974357363
Nqo1,27.25754526774655,-0.9854663147622597,0.6782383302209147,-1.4529793891791327,0.14622947667401714,0.31815553974357363
Snora73b,847.7332852048867,0.32008113616433015,0.22033588995746237,1.4526963184532686,0.14630808962978128,0.3182707627471623
Cbr1,321.9103942927803,-0.35149777171146157,0.2420007987320878,-1.4524653371107041,0.146372260543991,0.31835453441598044
Edf1,757.4163403615169,-0.31975855079139287,0.2202868461474866,-1.451555353320134,0.14662528052225532,0.3188489448131638
Fbxl19,11.387062705977247,-1.7382148815463534,1.197700990253692,-1.4512928482911014,0.14669833189503872,0.31895189370659843
Stom,340.2080763516019,0.46053289668386016,0.31736179820701277,1.4511289616006584,0.14674395331674067,0.3189951787011538
Nono,668.879008504269,-0.291358839595704,0.2008077199668167,-1.450934454331989,0.14679811272342894,0.3190148982483158
Dcp2,210.95613756783092,0.33118906900063216,0.22826273474505102,1.4509116846012584,0.14680445382070248,0.3190148982483158
Gm55118,208.01188352024585,0.4398202567548389,0.30322946882999524,1.4504535408510142,0.1469320858861067,0.3192363323122661
Ap1s1,79.33854799458285,-0.5329294837828962,0.36749411707830754,-1.450171469464195,0.14701070899428118,0.31935122671739663
