gene,group,bin,n,mean,zc
Nr1h3,Sham,6,3419,0.44195979833602905,-0.32021022
Nr1h3,Sham,7,3420,0.4372013807296753,-0.27493734000000003
Nr1h3,Sham,8,3419,0.44787487387657166,-0.21551788
Nr1h3,Sham,9,3420,0.44998788833618164,-0.11035838749999999
Nr1h3,CLP,0,3295,0.3877006769180298,-0.7252295
Nr1h3,CLP,1,3295,0.3924599885940552,-0.6332191
Nr1h3,CLP,2,3295,0.39065441489219666,-0.56623507
Nr1h3,CLP,3,3295,0.3753851354122162,-0.5058848
Nr1h3,CLP,4,3295,0.3641391098499298,-0.4482787
Nr1h3,CLP,5,3295,0.3696724772453308,-0.38891482
Nr1h3,CLP,6,3295,0.3506123125553131,-0.3239999
Nr1h3,CLP,7,3295,0.29845377802848816,-0.2528145
Nr1h3,CLP,8,3295,0.30203819274902344,-0.17021167
Nr1h3,CLP,9,3295,0.2791116535663605,-0.053990714
Nr1h2,Sham,0,3420,0.2725188434123993,-0.7282628
Nr1h2,Sham,1,3419,0.28261157870292664,-0.5630905
Nr1h2,Sham,2,3420,0.2996808588504791,-0.48928714
Nr1h2,Sham,3,3419,0.2860613763332367,-0.44062132
Nr1h2,Sham,4,3419,0.2887555658817291,-0.39919755
Nr1h2,Sham,5,3420,0.2947217524051666,-0.35999492
Nr1h2,Sham,6,3419,0.3100633919239044,-0.32021022
Nr1h2,Sham,7,3420,0.29830464720726013,-0.27493734000000003
Nr1h2,Sham,8,3419,0.2906612157821655,-0.21551788
Nr1h2,Sham,9,3420,0.2643252909183502,-0.11035838749999999
Nr1h2,CLP,0,3295,0.12746089696884155,-0.7252295
Nr1h2,CLP,1,3295,0.15075573325157166,-0.6332191
Nr1h2,CLP,2,3295,0.18618646264076233,-0.56623507
Nr1h2,CLP,3,3295,0.19523845613002777,-0.5058848
Nr1h2,CLP,4,3295,0.19181488454341888,-0.4482787
Nr1h2,CLP,5,3295,0.196915864944458,-0.38891482
Nr1h2,CLP,6,3295,0.19348855316638947,-0.3239999
Nr1h2,CLP,7,3295,0.18373487889766693,-0.2528145
Nr1h2,CLP,8,3295,0.17185012996196747,-0.17021167
Nr1h2,CLP,9,3295,0.16760998964309692,-0.053990714
Nr1h4,Sham,0,3420,1.937247395515442,-0.7282628
Nr1h4,Sham,1,3419,1.826196551322937,-0.5630905
Nr1h4,Sham,2,3420,1.8163822889328003,-0.48928714
Nr1h4,Sham,3,3419,1.7942087650299072,-0.44062132
Nr1h4,Sham,4,3419,1.802438497543335,-0.39919755
Nr1h4,Sham,5,3420,1.7881031036376953,-0.35999492
Nr1h4,Sham,6,3419,1.7595465183258057,-0.32021022
Nr1h4,Sham,7,3420,1.766459345817566,-0.27493734000000003
Nr1h4,Sham,8,3419,1.7471003532409668,-0.21551788
Nr1h4,Sham,9,3420,1.774570345878601,-0.11035838749999999
Nr1h4,CLP,0,3295,1.8988592624664307,-0.7252295
Nr1h4,CLP,1,3295,1.8610830307006836,-0.6332191
Nr1h4,CLP,2,3295,1.8087018728256226,-0.56623507
Nr1h4,CLP,3,3295,1.7896116971969604,-0.5058848
Nr1h4,CLP,4,3295,1.7100279331207275,-0.4482787
Nr1h4,CLP,5,3295,1.6737264394760132,-0.38891482
Nr1h4,CLP,6,3295,1.5810292959213257,-0.3239999
Nr1h4,CLP,7,3295,1.4697766304016113,-0.2528145
Nr1h4,CLP,8,3295,1.363398790359497,-0.17021167
Nr1h4,CLP,9,3295,1.4394181966781616,-0.053990714
Glul,Sham,0,3420,0.39502009749412537,-0.7282628
Glul,Sham,1,3419,0.45739442110061646,-0.5630905
Glul,Sham,2,3420,0.600944459438324,-0.48928714
Glul,Sham,3,3419,0.6947182416915894,-0.44062132
Glul,Sham,4,3419,0.7819069027900696,-0.39919755
Glul,Sham,5,3420,0.8760210871696472,-0.35999492
Glul,Sham,6,3419,0.9704132080078125,-0.32021022
Glul,Sham,7,3420,1.110211730003357,-0.27493734000000003
Glul,Sham,8,3419,1.158640742301941,-0.21551788
Glul,Sham,9,3420,1.5592154264450073,-0.11035838749999999
Glul,CLP,0,3295,0.048641059547662735,-0.7252295
Glul,CLP,1,3295,0.05619869753718376,-0.6332191
Glul,CLP,2,3295,0.07851565629243851,-0.56623507
Glul,CLP,3,3295,0.10778621584177017,-0.5058848
Glul,CLP,4,3295,0.12640215456485748,-0.4482787
Glul,CLP,5,3295,0.13081273436546326,-0.38891482
Glul,CLP,6,3295,0.16398538649082184,-0.3239999
Glul,CLP,7,3295,0.18309739232063293,-0.2528145
Glul,CLP,8,3295,0.26419487595558167,-0.17021167
Glul,CLP,9,3295,0.6687601804733276,-0.053990714
Cyp2e1,Sham,0,3420,1.44645094871521,-0.7282628
Cyp2e1,Sham,1,3419,2.3453049659729004,-0.5630905
Cyp2e1,Sham,2,3420,2.4874696731567383,-0.48928714
Cyp2e1,Sham,3,3419,2.5318360328674316,-0.44062132
Cyp2e1,Sham,4,3419,2.5422375202178955,-0.39919755
Cyp2e1,Sham,5,3420,2.5466620922088623,-0.35999492
Cyp2e1,Sham,6,3419,2.5382585525512695,-0.32021022
Cyp2e1,Sham,7,3420,2.533057451248169,-0.27493734000000003
Cyp2e1,Sham,8,3419,2.5172207355499268,-0.21551788
Cyp2e1,Sham,9,3420,2.4789345264434814,-0.11035838749999999
Cyp2e1,CLP,0,3295,0.5681817531585693,-0.7252295
Cyp2e1,CLP,1,3295,0.722463846206665,-0.6332191
Cyp2e1,CLP,2,3295,0.8648592233657837,-0.56623507
Cyp2e1,CLP,3,3295,1.014636754989624,-0.5058848
Cyp2e1,CLP,4,3295,1.1927109956741333,-0.4482787
Cyp2e1,CLP,5,3295,1.4097297191619873,-0.38891482
Cyp2e1,CLP,6,3295,1.5193021297454834,-0.3239999
Cyp2e1,CLP,7,3295,1.5361651182174683,-0.2528145
